lat,lon,radius_km
25.325082700903586,-87.55761388798648,43.59444979032372
26.290449566715704,-86.69128701611324,37.022946444424086
25.183157741869593,-92.30048230654408,64.4731205594349
23.735456372683625,-94.67101890268194,72.59390359005361
27.507590405558055,-89.80858624074621,232.36938243738643
24.83282241826771,-89.67069212196682,84.26368587708544
22.526459177027025,-93.49567505770271,36.25680941244927
22.561110613640793,-95.05765322927216,43.09569543142549
25.313176279266187,-88.966397222608,22.97797580891266
23.897924340218783,-86.59965228563718,19.14657467976265
24.26551311358767,-95.46878894779195,27.06630043273751
22.566670529270656,-97.09479739215612,29.222797855355548
19.54596041611756,-95.47098952093157,22.960247955627885
24.68158318288677,-91.21749331163211,54.84719556632169
23.853681767469137,-87.90192751377172,8.937848802281929
27.722430419423052,-94.72058027389868,51.91978374573167
